Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak,faktor
Smiskaret 73,46/437/0/0,8199000,70,320000,5419300,1.8,9754,Ingen,1.0
Tillegg Til 46/44 0,46/440/0/0,0,100,0,0,1.8,0,Ingen,1.0
Svehøgda 108B,46/441/0/0,4710000,70,320000,2977000,1.8,5358,Ingen,1.0
46/442/0/0 0,46/442/0/0,0,100,0,0,1.8,0,Ingen,1.0
46/443/0/0 0,46/443/0/0,0,100,0,0,1.8,0,Ingen,1.0
46/444/0/0 0,46/444/0/0,0,100,0,0,1.8,0,Ingen,1.0
46/445/0/0 0,46/445/0/0,0,100,0,0,4.0,0,Ingen,1.0
Stavsjøvegen 27,46/446/0/0,0,100,0,0,4.0,0,Ingen,1.0
Stavsjøvegen 2,46/447/0/0,14814000,100,0,14814000,4.0,59256,Ingen,1.0
Svehøgda 120B,46/448/0/0,4898000,70,320000,3108600,1.8,5595,Ingen,1.0
Svehøgda 120A,46/449/0/0,5015000,70,320000,3190500,1.8,5742,Ingen,1.0
Svebergvegen 1,46/450/0/0,21170000,100,0,21170000,4.0,84680,Ingen,1.0
Svebergvegen 5,46/451/0/0,2428000,70,640000,1059600,1.8,1907,Ingen,2.0
Svebergvegen 5,46/451/0/0,1492000,100,0,1492000,4.0,5968,Ingen,1.0
Svehøgda 169,46/452/0/0,3263000,70,320000,1964100,1.8,3535,Ingen,1.0
Svehøgda 134A,46/453/0/0,4732000,70,320000,2992400,1.8,5386,Ingen,1.0
Svehøgda 134B,46/454/0/0,5667000,70,320000,3646900,1.8,6564,Ingen,1.0
Svehøgda 134C,46/455/0/0,5366000,70,320000,3436200,1.8,6185,Ingen,1.0
Svehøgda 134D,46/456/0/0,5366000,70,320000,3436200,1.8,6185,Ingen,1.0
Svehøgda 38A,46/457/0/0,4839000,70,320000,3067300,1.8,5521,Ingen,1.0
Svehøgda 38B,46/458/0/0,4459000,70,320000,2801300,1.8,5042,Ingen,1.0
Svehøgda 38C,46/459/0/0,4643000,70,320000,2930100,1.8,5274,Ingen,1.0
Svehøgda 38D,46/460/0/0,4839000,70,320000,3067300,1.8,5521,Ingen,1.0
46/462/0/0 0,46/462/0/0,0,100,0,0,1.8,0,Ingen,1.0
46/463/0/0 0,46/463/0/0,0,100,0,0,1.8,0,Ingen,1.0
Vidhaugen 100,46/464/0/0,6598000,70,320000,4298600,1.8,7737,Ingen,1.0
VIDHAUGEN 102,46/465/0/0,9866000,70,320000,6586200,1.8,11855,Ingen,1.0
Vidhaugen 104,46/466/0/0,10013000,70,320000,6689100,1.8,12040,Ingen,1.0
Vidhaugen 106,46/467/0/0,10276000,70,320000,6873200,1.8,12371,Ingen,1.0
Vidhaugen 108,46/468/0/0,8010000,70,320000,5287000,1.8,9516,Ingen,1.0
Vidhaugen 110,46/469/0/0,8010000,70,640000,4967000,1.8,8940,Ingen,2.0
Vidhaugen 112,46/470/0/0,8347000,70,640000,5202900,1.8,9365,Ingen,2.0
Vidhaugen 114,46/471/0/0,8010000,70,320000,5287000,1.8,9516,Ingen,1.0
Vidhaugen 116,46/472/0/0,10793000,70,640000,6915100,1.8,12447,Ingen,2.0
Vidhaugen 118,46/473/0/0,10043000,70,320000,6710100,1.8,12078,Ingen,1.0
Vidhaugen 145,46/474/0/0,8277000,70,640000,5153900,1.8,9277,Ingen,2.0
Vidhaugen 141,46/476/0/0,7347000,70,320000,4822900,1.8,8681,Ingen,1.0
VIDHAUGEN 139,46/477/0/0,10334000,70,320000,6913800,1.8,12444,Ingen,1.0
Vidhaugen 137,46/478/0/0,9866000,70,320000,6586200,1.8,11855,Ingen,1.0
Vidhaugen 135,46/479/0/0,10736000,70,320000,7195200,1.8,12951,Ingen,1.0
Vidhaugen 133,46/480/0/0,9866000,70,320000,6586200,1.8,11855,Ingen,1.0
Vidhaugen 131,46/481/0/0,8522000,70,320000,5645400,1.8,10161,Ingen,1.0
Vidhaugen 129,46/482/0/0,7313000,70,320000,4799100,1.8,8638,Ingen,1.0
Vidhaugen 127,46/483/0/0,10228000,70,320000,6839600,1.8,12311,Ingen,1.0
VIDHAUGEN 125,46/484/0/0,9418000,70,640000,5952600,1.8,10714,Ingen,2.0
Vidhaugen 123,46/485/0/0,8491000,70,320000,5623700,1.8,10122,Ingen,1.0
VIDHAUGEN 121,46/486/0/0,9021000,70,320000,5994700,1.8,10790,Ingen,1.0
