Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Malvikvegen 177,1/183/0/0,4 578 000,70%,200 000 3 004 600,"1,9‰",5 708,Ingen,
Ole Hoels Veg 4,1/184/0/0,4 408 000,70%,200 000 2 885 600,"1,9‰",5 482,Ingen,
Olav Magnussons Veg 22,1/185/0/0,5 070 000,70%,200 000 3 349 000,"1,9‰",6 363,Ingen,
Olav Magnussons Veg 59,1/186/0/0,6 923 000,70%,200 000 4 646 100,"1,9‰",8 827,Ingen,
Olav Magnussons Veg 65,1/187/0/0,6 124 000,70%,200 000 4 086 800,"1,9‰",7 764,Ingen,
Olav Magnussons Veg 61,1/188/0/0,8 227 000,70%,400 000 5 358 900,"1,9‰",10 181,Ingen,
Saksviklia 67,1/189/0/0,5 342 000,70%,200 000 3 539 400,"1,9‰",6 724,Ingen,
Armfeldts Veg 7,1/190/0/0,5 673 000,70%,200 000 3 771 100,"1,9‰",7 165,Ingen,
Olav Magnussons Veg 57,1/191/0/0,5 453 000,70%,400 000 3 417 100,"1,9‰",6 492,Ingen,
Sigrid Saxedatters Veg 17,1/192/0/0,5 229 000,70%,200 000 3 460 300,"1,9‰",6 574,Ingen,
Sigrid Saxedatters Veg 15,1/193/0/0,5 297 000,70%,200 000 3 507 900,"1,9‰",6 665,Ingen,
Sigrid Saxedatters Veg 13,1/194/0/0,5 453 000,70%,200 000 3 617 100,"1,9‰",6 872,Ingen,
Jamthaugvegen 51,1/196/0/1,2 914 000,70%,200 000 1 839 800,"1,9‰",3 495,Ingen,
Jamthaugvegen 51,1/196/0/2,4 276 000,70%,200 000 2 793 200,"1,9‰",5 307,Ingen,
Kongestien 4,1/198/0/0,4 433 000,70%,400 000 2 703 100,"1,9‰",5 135,Ingen,
Olav Magnussons Veg 63,1/201/0/0,5 116 000,70%,200 000 3 381 200,"1,9‰",6 424,Ingen,
Jamthaugvegen 47,1/202/0/0,6 333 000,70%,200 000 4 233 100,"1,9‰",8 042,Ingen,
Armfeldts Veg 6B,1/203/0/0,3 882 000,70%,200 000 2 517 400,"1,9‰",4 783,Ingen,
Malvikvegen 175,1/205/0/0,3 907 000,70%,200 000 2 534 900,"1,9‰",4 816,Ingen,
Sakslundvegen 6A,1/206/0/0,5 207 000,70%,200 000 3 444 900,"1,9‰",6 545,Ingen,
Malvikvegen 61,1/207/0/0,5 695 000,70%,400 000 3 586 500,"1,9‰",6 814,Ingen,
Olav Magnussons Veg 47B,1/208/0/0,3 248 000,70%,200 000 2 073 600,"1,9‰",3 939,Ingen,
Olav Magnussons Veg 49A,1/209/0/0,7 852 000,70%,200 000 5 296 400,"1,9‰",10 063,Ingen,
Armfeldts Veg 2D,1/210/0/0,4 506 000,70%,200 000 2 954 200,"1,9‰",5 612,Ingen,
Stibakken 4,1/212/0/0,5 954 000,70%,200 000 3 967 800,"1,9‰",7 538,Ingen,
Olav Magnussons Veg 52,1/215/0/0,7 491 000,70%,200 000 5 043 700,"1,9‰",9 583,Ingen,
Olav Magnussons Veg 41,1/216/0/0,5 453 000,70%,200 000 3 617 100,"1,9‰",6 872,Ingen,
Hundhammervegen 25,1/220/0/0,4 978 000,70%,200 000 3 284 600,"1,9‰",6 240,Ingen,
Olav Magnussons Veg 14C,1/222/0/0,7 022 000,70%,400 000 4 515 400,"1,9‰",8 579,Ingen,
Magnus Barfots Veg 12C,1/223/0/0,6 187 000,70%,400 000 3 930 900,"1,9‰",7 468,Ingen,
Olav Magnussons Veg 37,1/224/0/0,4 978 000,70%,200 000 3 284 600,"1,9‰",6 240,Ingen,
Magnus Barfots Veg 20A,1/226/0/0,5 275 000,70%,200 000 3 492 500,"1,9‰",6 635,Ingen,
Magnus Barfots Veg 12A,1/227/0/0,4 721 000,70%,200 000 3 104 700,"1,9‰",5 898,Ingen,
Magnus Barfots Veg 12D,1/228/0/1,5 250 000,70%,200 000 3 475 000,"1,9‰",6 602,Ingen,
Magnus Barfots Veg 12B,1/228/0/2,5 792 000,70%,200 000 3 854 400,"1,9‰",7 323,Ingen,
Magnus Barfots Veg 12,1/229/0/0,6 060 000,70%,200 000 4 042 000,"1,9‰",7 679,Ingen,
Magnus Barfots Veg 10,1/230/0/0,4 530 000,70%,200 000 2 971 000,"1,9‰",5 644,Ingen,
Magnus Barfots Veg 8,1/231/0/0,5 047 000,70%,200 000 3 332 900,"1,9‰",6 332,Ingen,
Magnus Barfots Veg 6,1/232/0/0,5 116 000,70%,400 000 3 181 200,"1,9‰",6 044,Ingen,
Magnus Barfots Veg 4,1/233/0/0,6 498 000,70%,400 000 4 148 600,"1,9‰",7 882,Ingen,
Magnus Barfots Veg 2,1/234/0/0,4 481 000,70%,200 000 2 936 700,"1,9‰",5 579,Ingen,
Magnus Barfots Veg 10B,1/235/0/0,6 019 000,70%,200 000 4 013 300,"1,9‰",7 625,Ingen,
Olav Magnussons Veg 14A,1/240/0/0,8 370 000,70%,200 000 5 659 000,"1,9‰",10 752,Ingen,
Olav Magnussons Veg 23C,1/241/0/0,4 506 000,70%,200 000 2 954 200,"1,9‰",5 612,Ingen,
Olav Magnussons Veg 39,1/242/0/0,4 838 000,70%,200 000 3 186 600,"1,9‰",6 054,Ingen,
Olav Magnussons Veg 46,1/244/0/0,4 261 000,70%,200 000 2 782 700,"1,9‰",5 287,Ingen,
Sakslundvegen 13B,1/245/0/0,3 425 000,70%,200 000 2 197 500,"1,9‰",4 175,Ingen,
Sakslundvegen 13A,1/246/0/0,3 378 000,70%,200 000 2 164 600,"1,9‰",4 112,Ingen,
Sakslundvegen 11B,1/247/0/0,3 710 000,70%,200 000 2 397 000,"1,9‰",4 554,Ingen,
Sakslundvegen 11A,1/248/0/0,3 986 000,70%,200 000 2 590 200,"1,9‰",4 921,Ingen,
Sakslundvegen 9B,1/249/0/0,3 878 000,70%,200 000 2 514 600,"1,9‰",4 777,Ingen,
Sakslundvegen 9A,1/250/0/0,3 346 000,70%,200 000 2 142 200,"1,9‰",4 070,Ingen,
Sakslundvegen 7B,1/251/0/0,3 578 000,70%,200 000 2 304 600,"1,9‰",4 378,Ingen,
Sakslundvegen 7A,1/252/0/0,3 346 000,70%,200 000 2 142 200,"1,9‰",4 070,Ingen,
Sakslundvegen 5B,1/253/0/0,3 346 000,70%,200 000 2 142 200,"1,9‰",4 070,Ingen,
Sakslundvegen 5A,1/254/0/0,3 502 000,70%,200 000 2 251 400,"1,9‰",4 277,Ingen,
Sakslundvegen 3B,1/255/0/0,3 231 000,70%,200 000 2 061 700,"1,9‰",3 917,Ingen,
