Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Svehøgda 155,46/345/0/0,5239000,70,2000003467,300,1.9,6587,Ingen
Svehøgda 157,46/346/0/0,5065000,70,2000003345,500,1.9,6356,Ingen
Svehøgda 138,46/347/0/0,5635000,70,2000003744,500,1.9,7114,Ingen
Svehøgda 159,46/348/0/0,5410000,70,2000003587,000,1.9,6815,Ingen
Svehøgda 140,46/349/0/0,7533000,70,4000004873,100,1.9,9258,Ingen
Svehøgda 161,46/350/0/0,6654000,70,2000004457,800,1.9,8469,Ingen
Svehøgda 142,46/351/0/0,5746000,70,2000003822,200,1.9,7262,Ingen
Svehøgda 163,46/352/0/0,7509000,70,4000004856,300,1.9,9226,Ingen
Svehøgda 144,46/353/0/0,4618000,70,2000003032,600,1.9,5761,Ingen
Svehøgda 165,46/354/0/0,5360000,70,4000003352,000,1.9,6368,Ingen
Svehøgda 146,46/355/0/0,6782000,70,4000004347,400,1.9,8260,Ingen
Svehøgda 167,46/356/0/0,4899000,70,2000003229,300,1.9,6135,Ingen
Svehøgda 148,46/357/0/0,5774000,70,2000003841,800,1.9,7299,Ingen
Svehøgda 171,46/358/0/0,7334000,70,2000004933,800,1.9,9374,Ingen
Svehøgda 150,46/359/0/0,5768000,70,2000003837,600,1.9,7291,Ingen
Svehøgda 156,46/360/0/0,6482000,70,4000004137,400,1.9,7861,Ingen
Svehøgda 160,46/361/0/0,6046000,70,2000004032,200,1.9,7661,Ingen
Svehøgda 162,46/362/0/0,5774000,70,2000003841,800,1.9,7299,Ingen
Svehøgda 166,46/363/0/0,5938000,70,2000003956,600,1.9,7517,Ingen
Svehøgda 136,46/365/0/0,5123000,70,2000003386,100,1.9,6433,Ingen
Dalabakkan 49,46/366/0/0,34525000,100,034525,000,4,138100,Ingen
Svehøgda 6,46/367/0/0,4615000,70,2000003030,500,1.9,5757,Ingen
Svehøgda 154,46/368/0/0,5006000,70,4000003104,200,1.9,5897,Ingen
Svehøgda 2,46/369/0/0,4555000,70,2000002988,500,1.9,5678,Ingen
